features,scaled,rand,sse,sil,fm,clusters
WindSpeed9am,0,0.5004135338345864,2613.219033202228,0.0041275513749962035,0.37597865956508497,5
WindSpeed3pm,1,0.4986466165413534,27.879909336292673,-0.0032172415023737203,0.33420918602284677,5
WindSpeed3pm,0,0.4986466165413534,2432.069447775315,-0.0032172415023737203,0.33420918602284677,5
Humidity9am,1,0.5240225563909774,25.110035663350967,0.0514944141412367,0.37520539941330844,5
Humidity9am,0,0.5240225563909774,7347.645811205292,0.051419732908507904,0.3735666618944547,5
Humidity3pm,1,0.5463157894736842,20.63373080207693,0.05794052312953878,0.39497610394715466,5
Humidity3pm,0,0.5463157894736842,10342.030821960672,0.06674658821487434,0.39497610394715466,5
Pressure9am,1,0.5108145363408522,34.41805003622488,0.006313053728786674,0.3719290382792085,5
Pressure9am,0,0.5108145363408522,1578.2580335133887,0.006313053728786674,0.3719290382792085,5
Pressure3pm,1,0.5051503759398496,34.015141095483244,0.008374581931864316,0.3723270016389471,5
Pressure3pm,0,0.5051503759398496,1561.2225294675493,0.008374581931864316,0.3723270016389471,5
Temp9am,1,0.5061654135338346,29.61871788974779,0.013291098437003572,0.3417641770936172,5
Temp9am,0,0.5061654135338346,1072.5561842920913,0.013291098437003572,0.3417641770936172,5
Temp3pm,1,0.5173308270676692,31.31785771126554,0.02382367001498328,0.3645925227680249,5
Temp3pm,0,0.5173308270676692,1496.9451613176136,0.02382367001498328,0.3645925227680249,5
RainToday,1,0.5789473684210527,5.528682350434885e-28,0.24431896409749673,0.6098040248179332,5
RainToday,0,0.5789473684210527,1.370645822821508e-29,0.24431896409749673,0.6098040248179332,5
phi,1,0.5545864661654135,22.015787349424077,0.09615634169912375,0.46966040690120797,5
phi,0,0.5545864661654135,28.278867375201436,0.09615634169912375,0.46966040690120797,5
rho,1,0.5292355889724311,7.250778915913718,0.07663782467326363,0.4383130641451094,5
rho,0,0.5292355889724311,298.8450993559661,0.07663782467326363,0.4383130641451094,5
all,1,0.5868796992481203,5039.13512713202,0.12165620146308952,0.45743261370004434,5
